Name,Age,mlbID,Lev,Tm,Age,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,position,team_abbr
Rob Brantly,35,542963,"Maj-AL,Maj-NL","Miami,Tampa Bay",35,16,16,0,4,4,0,0,0,1,0,3,0,0,0.25,0.25,0.25,C,
Alex Bregman,32,608324,"Maj-AL,Maj-NL","Boston,Chicago,Houston",32,1979,1746,258,459,288,89,7,75,247,202,262,7,3,0.263,0.346,0.451,3B,
Will Brennan,27,686823,Maj-AL,Cleveland,27,830,782,78,204,150,39,2,13,72,36,109,17,8,0.261,0.3,0.366,RF,CLE
Jonah Bride,29,681146,"Maj-AL,Maj-NL","Miami,Minnesota,Oakland",29,503,432,46,98,72,15,0,11,51,52,116,0,2,0.227,0.315,0.338,3B,
Juan Brito,24,682877,Maj-AL,Cleveland,24,16,14,2,5,3,2,0,0,1,2,1,0,0,0.357,0.438,0.5,SS,CLE
Trenton Brooks,29,670092,Maj-NL,"San Diego,San Francisco",29,72,66,8,9,6,2,0,1,3,6,19,1,0,0.136,0.208,0.212,LF,
Mike Brosseau,29,670712,Maj-NL,Milwaukee,29,78,73,4,15,9,2,0,4,8,4,20,0,0,0.205,0.256,0.397,3B,MIL
Seth Brown,32,664913,Maj-AL,"Athletics,Oakland",32,850,776,71,172,110,31,2,29,99,64,236,7,3,0.222,0.285,0.379,LF,
Vidal Bruj\xc3\xa1n,27,660644,"Maj-AL,Maj-NL","Atlanta,Baltimore,Chicago,Miami,Tampa Bay",27,457,411,60,90,65,21,2,2,30,36,96,10,9,0.219,0.292,0.294,3B,
Kris Bryant,33,592178,Maj-NL,Colorado,33,521,463,45,101,73,16,0,12,46,43,128,0,0,0.218,0.303,0.33,DH,COL
Peyton Burdick,26,680814,Maj-NL,Miami,26,37,33,4,6,3,2,0,1,2,3,18,1,0,0.182,0.27,0.333,CF,MIA
Jake Burger,30,669394,"Maj-AL,Maj-NL","Chicago,Miami,Texas",30,1560,1446,187,356,202,70,3,81,216,76,408,3,3,0.246,0.294,0.467,1B,
Alec Burleson,27,676475,Maj-NL,St. Louis,27,1550,1409,165,380,261,68,3,48,193,108,205,18,6,0.27,0.323,0.424,1B,STL
Michael Busch,28,683737,Maj-NL,"Chicago,Los Angeles",28,1330,1170,170,286,160,58,7,61,168,137,344,7,1,0.244,0.329,0.462,1B,
Lawrence Butler,25,671732,Maj-AL,"Athletics,Oakland",25,1257,1146,161,275,164,59,4,48,135,103,335,41,7,0.24,0.302,0.424,RF,
Byron Buxton,32,621439,Maj-AL,Minnesota,32,1335,1198,216,299,150,68,11,70,182,101,372,40,2,0.25,0.317,0.5,CF,MIN
Jos\xc3\xa9 Caballero,29,676609,Maj-AL,"New York,Seattle,Tampa Bay",29,1186,1035,145,233,159,53,3,18,110,104,313,124,30,0.225,0.312,0.334,SS,
